CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP	GSS0392_109.M_0	GSS0392_109.M_600	GSS0392_109.M_1200	GSS0392_109.M_1800
MTMR10	0.179992307193198	0.894427190946457	24	9.34995686275878	8.26879980144652	92.1586606141623	8.3245442013343	0.0903283982846322	65.6473969314017	89.3016513167894	106.660474275703	107.025119932755
MTMR11	0.651150948047311	0.894427190946457	24	10.6935333857935	3.72946667688107	31.8195344016393	4.3733084210029	0.137440993504217	29.9756880616935	30.6101815895753	37.7931960504557	28.8990719048325
MTMR12	0.483920825632793	0.894427190946457	24	10.0700586407272	9.22332298974954	104.471245251246	9.82414571681075	0.0940368394497874	94.3823797247715	103.454333349163	118.023415252287	102.024852678761
MTMR15	0.892885312416847	0.894427190946457	24	2.50069887471011	7.9344281078102	104.55402157669	37.147623086071	0.355295975476403	110.045475494238	123.95152009678	83.6939273131826	100.52516340256
MTMR2	0.842930368839797	0.894427190946457	24	17.5620527900087	2.82350666577948	49.1744800082568	5.54631138929962	0.112788409523972	56.3987778432415	44.7146340777618	51.1523757255097	44.4321323865142
MTMR3	0.135812011441397	0.894427190946457	24	9.26201300535472	5.48526957480762	65.6748035998236	5.50596264525235	0.0838367584439512	52.1401734700011	65.4364991242232	73.6522077276406	71.4703340774294
MTMR4	0.372975295838622	0.894427190946457	24	20.2270060102279	12.2926808261215	122.255255288238	12.7032219247761	0.103907369011059	127.459877315971	106.813451771066	120.667345960426	134.080346105488
MTMR6	0.890113319062084	0.894427190946457	24	14.1713354245843	5.21183014846678	293.828236910389	21.9848405876723	0.0748220825161101	285.302733837148	280.047617614441	309.195358260246	300.76723792972
MTMR9	0.861238966327232	0.894427190946457	24	5.13841599004517	6.62225946557683	90.0901492094576	15.5594934978497	0.172710264489342	84.245025766007	104.683390120162	80.4703192389639	90.9618617126975
MTO1	0.773467149399186	0.894427190946457	24	23.5066770634335	10.7044943651083	127.2115086038	15.2447411302227	0.119837751297348	128.286210315488	134.968204660082	107.460807580902	138.130811858727
MTOR	0.769772817208394	0.894427190946457	24	11.4721924527105	6.13816616209982	59.8906729665516	8.6557645548911	0.144526086052252	56.435534185625	54.6320718530313	72.0744068774463	56.4206789501038
MTP18	0.131444551350294	0.894427190946457	24	9.25342369253873	6.65144222787458	22.9583956980778	6.67491313995859	0.290739528481837	20.5594792224545	27.3766140984413	27.9260417357255	15.97144773569
MTPAP	0.752185961820164	0.894427190946457	24	23.3201465940743	2.81586866617988	67.9117652378252	3.80831553693758	0.0560774046087737	75.0815622609457	71.9098199288413	60.6437848267424	64.0118939347713
MTR	0.274143106709125	0.894427190946457	24	21.5462930259882	17.5921940888346	82.6616672816003	17.8828316423863	0.216337659649007	101.811023005148	78.5381696255351	62.1600568472138	88.1374196485043
MTRF1	0.49591389417254	0.894427190946457	24	22.1060849129639	2.57192120110024	18.0183860459997	2.75138753465643	0.15269888921418	21.8342064003872	18.6974307167118	13.8535283539088	17.688378712991
